shape_id,shape_pt_lat,shape_pt_locsn,shape_pt_sequence,shape_dist_traveled
193008,38.71671,,1,
193008,38.716115,,2,
193008,38.715464,,3,
193008,38.713425,,4,
193008,38.712182,,5,
193008,38.711314,,6,
193008,38.710166,,7,
193008,38.710052,,8,
193008,38.709944,,9,
193008,38.713393,,10,
193008,38.715271,,11,
193033,38.707592,,1,
193033,38.710957,,2,
193033,38.713181,,3,
193033,38.714911,,4,
193033,38.71657,,5,
193033,38.71807,,6,
193033,38.720248,,7,
193033,38.72047,,8,
193033,38.720827,,9,
193033,38.723867,,10,
193033,38.725223,,11,
193033,38.727719,,12,
193033,38.730337,,13,
193033,38.732261,,14,
193033,38.735087,,15,
193033,38.737727,,16,
193033,38.740566,,17,
193033,38.741989,,18,
193033,38.742583,,19,
193033,38.743614,,20,
193033,38.744557,,21,
193033,38.745703,,22,
193033,38.746809,,23,
193033,38.747272,,24,
193033,38.748946,,25,
193033,38.75014,,26,
193033,38.749293,,27,
193033,38.747781,,28,
193033,38.745013,,29,
193033,38.745259,,30,
193033,38.746263,,31,
193033,38.747879,,32,
193033,38.749742,,33,
193033,38.752708,,34,
193033,38.752877,,35,
193033,38.753872,,36,
193033,38.756864,,37,
193033,38.757312,,38,
193033,38.763985,,39,
193033,38.766042,,40,
193033,38.768936,,41,
193033,38.770957,,42,
193033,38.771977,,43,
193033,38.771076,,44,
193033,38.769542,,45,
193034,38.770971,,1,
193034,38.772226,,2,
193034,38.770992,,3,
193034,38.768801,,4,
193034,38.76512,,5,
193034,38.7632,,6,
193034,38.757659,,7,
193034,38.756591,,8,
193034,38.753952,,9,
193034,38.752708,,10,
193034,38.75022,,11,
193034,38.747835,,12,
193034,38.745954,,13,
193034,38.74511,,14,
193034,38.744722,,15,
193034,38.747316,,16,
193034,38.749779,,17,
193034,38.749738,,18,
193034,38.748204,,19,
193034,38.747044,,20,
193034,38.746696,,21,
193034,38.745559,,22,
193034,38.744338,,23,
193034,38.743596,,24,
193034,38.742419,,25,
193034,38.742,,26,
193034,38.738826,,27,
193034,38.735177,,28,
193034,38.732207,,29,
193034,38.72932,,30,
193034,38.727591,,31,
193034,38.726441,,32,
193034,38.723824,,33,
193034,38.720711,,34,
193034,38.720327,,35,
193034,38.720768,,36,
193034,38.719915,,37,
193034,38.717537,,38,
193034,38.716657,,39,
193034,38.715457,,40,
193034,38.714502,,41,
193034,38.71255,,42,
193034,38.709942,,43,
193034,38.708063,,44,
193034,38.705772,,45,
193035,38.757659,,1,
193035,38.756591,,2,
193035,38.753952,,3,
193035,38.752708,,4,
193035,38.75022,,5,
193035,38.747835,,6,
193035,38.745954,,7,
193035,38.74511,,8,
193035,38.744722,,9,
193035,38.747316,,10,
193035,38.749779,,11,
193035,38.749738,,12,
193035,38.748204,,13,
193035,38.747044,,14,
193035,38.746696,,15,
193035,38.745559,,16,
193035,38.744338,,17,
193035,38.743596,,18,
193035,38.742419,,19,
193035,38.742,,20,
193035,38.738826,,21,
193035,38.735177,,22,
193035,38.732207,,23,
193035,38.72932,,24,
193035,38.727591,,25,
193035,38.726441,,26,
193035,38.723824,,27,
193035,38.720711,,28,
193035,38.720327,,29,
193035,38.720768,,30,
193035,38.719915,,31,
193035,38.717537,,32,
193035,38.716657,,33,
193035,38.715457,,34,
193035,38.714502,,35,
193035,38.71255,,36,
193035,38.709942,,37,
193035,38.708063,,38,
193035,38.705772,,39,
193039,38.70699,,1,
193039,38.709676,,2,
193039,38.714269,,3,
193039,38.715976,,4,
193039,38.71974,,5,
193039,38.726303,,6,
193039,38.728781,,7,
193039,38.730498,,8,
193039,38.733918,,9,
193039,38.738339,,10,
193039,38.742781,,11,
193039,38.745929,,12,
193039,38.747447,,13,
193039,38.74999,,14,
193039,38.752318,,15,
193039,38.755632,,16,
193039,38.75859,,17,
193039,38.7611,,18,
193039,38.764567,,19,
193039,38.767189,,20,
193039,38.770342,,21,
193039,38.773466,,22,
193039,38.774165,,23,
193039,38.774183,,24,
193039,38.774244,,25,
193039,38.774611,,26,
193039,38.777283,,27,
193039,38.779867,,28,
193039,38.784567,,29,
193039,38.77963,,30,
193039,38.777133,,31,
193039,38.779044,,32,
193039,38.783567,,33,
193039,38.78545,,34,
193039,38.787177,,35,
193039,38.787883,,36,
193039,38.787514,,37,
193039,38.790399,,38,
193039,38.792433,,39,
193039,38.794083,,40,
193039,38.796,,41,
193039,38.798517,,42,
193039,38.798043,,43,
193040,38.7987,,1,
193040,38.79595,,2,
193040,38.7935,,3,
193040,38.792267,,4,
193040,38.790754,,5,
193040,38.787328,,6,
193040,38.78785,,7,
193040,38.787177,,8,
193040,38.785717,,9,
193040,38.783577,,10,
193040,38.779204,,11,
193040,38.777283,,12,
193040,38.77981,,13,
193040,38.780183,,14,
193040,38.780583,,15,
193040,38.774761,,16,
193040,38.774409,,17,
193040,38.774463,,18,
193040,38.774243,,19,
193040,38.772642,,20,
193040,38.770242,,21,
193040,38.767652,,22,
193040,38.765269,,23,
