route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
193478,1,,708 - Martim Moniz,,3,,,
193479,1,,711 - Sul e Sueste,,3,,,
193480,1,,711 - Alto Damaia,,3,,,
193482,1,,723 - Algés,,3,,,
193486,1,,727 - Estação Roma-Areeiro,,3,,,
193487,1,,727 - Restelo,,3,,,
193488,1,,731 - Av. José Malhoa,,3,,,
193220,1,,732 - Hosp. Sta. Maria,,3,,,
193534,1,,201 - Cais Sodré,,3,,,
193535,1,,201 - Linda-a-Velha,,3,,,
193536,1,,206 - Cais Sodré,,3,,,
193440,1,,729 - Algés,,3,,,
193441,1,,735 - Cais Sodré,,3,,,
193442,1,,735 - Cais Sodré,,3,,,
193105,1,,705 - Estação Oriente,,3,,,
193106,1,,705 - Estação Roma-Areeiro,,3,,,
193107,1,,706 - Cais Sodré,,3,,,
193108,1,,706 - Cais Sodré,,3,,,
193506,1,,98D - Alcânt. Mar (circ.),,3,,,
193111,1,,706 - Est. Sta. Apolónia,,3,,,
193112,1,,706 - Est. Sta. Apolónia,,3,,,
193115,1,,708 - Martim Moniz,,3,,,
193116,1,,708 - Martim Moniz,,3,,,
193117,1,,708 - Sacavém,,3,,,
193118,1,,708 - Sacavém,,3,,,
193119,1,,709 - Restauradores,,3,,,
193120,1,,709 - Campo Ourique,,3,,,
193121,1,,70B - Col. Militar (circ.),,3,,,
193124,1,,712 - Est. Sta. Apolónia,,3,,,
193125,1,,712 - Est. Sta. Apolónia,,3,,,
193211,1,,730 - Picheleira,,3,,,
193126,1,,712 - Alcântara Mar,,3,,,
193127,1,,712 - Alcântara Mar,,3,,,
193130,1,,713 - Estação Campolide,,3,,,
193134,1,,714 - Outurela,,3,,,
193326,1,,770 - Sete Rios (circ.),,3,,,
193328,1,,773 - Rato,,3,,,
193329,1,,773 - Alcântara,,3,,,
193330,1,,774 - Campo Ourique,,3,,,
193332,1,,774 - Gomes Freire,,3,,,
193538,1,,210 - Cais Sodré,,3,,,
193542,1,,43B - Paço Lumiar (circ.),,3,,,
193546,1,,713 - Alameda,,3,,,
193170,1,,725 - Estação Oriente,,3,,,
193171,1,,725 - Estação Oriente,,3,,,
193172,1,,725 - Prior Velho,,3,,,
193173,1,,725 - Prior Velho,,3,,,
193466,1,,10B - C. Cebolas (circ.),,3,,,
193467,1,,17B - Alameda (circ.),,3,,,
193468,1,,18E - Cais Sodré,,0,,,
193469,1,,18E - Cemitério Ajuda,,0,,,
193228,1,,734 - Est. Sta. Apolónia,,3,,,
193295,1,,758 - Portas Benfica,,3,,,
193307,1,,760 - Cemitério Ajuda,,3,,,
193033,1,,202 - Cais Sodré,,3,,,
193213,1,,730 - Pç. José Fontana,,3,,,
193429,1,,728 - Restelo,,3,,,
193432,1,,728 - Portela,,3,,,
193433,1,,728 - Portela,,3,,,
193435,1,,729 - B.º Padre Cruz,,3,,,
193277,1,,751 - Linda-a-Velha,,3,,,
193458,1,,783 - Amoreiras,,3,,,
193460,1,,783 - Portela / Pr. Velho,,3,,,
193224,1,,734 - Martim Moniz,,3,,,
193144,1,,718 - ISEL,,3,,,
193146,1,,720 - Picheleira,,3,,,
193147,1,,720 - Picheleira,,3,,,
193148,1,,720 - Alto Sto. Amaro,,3,,,
193537,1,,206 - Odivelas,,3,,,
193572,1,,28E - Campo Ourique,,0,,,
193545,1,,703 - B.º Sta. Cruz,,3,,,
193064,1,,29B - C.C. Olivais (circ.),,3,,,
193065,1,,31B - Vale Formoso,,3,,,
193066,1,,31B - B.º Alfinetes,,3,,,
193067,1,,32B - Amendoeiras (circ.),,3,,,
193069,1,,37B - Cruz Pedra (circ.),,3,,,
193070,1,,40B - Alto Chapeleiro,,3,,,
193354,1,,793 - Marvila,,3,,,
193358,1,,796 - C. Grande-Metro,,3,,,
193360,1,,797 - Alameda,,3,,,
193008,1,,12E - Martim Moniz (circ.),,0,,,
193151,1,,722 - Portela,,3,,,
193152,1,,723 - Desterro,,3,,,
193489,1,,731 - Av. José Malhoa,,3,,,
193492,1,,746 - Marquês Pombal,,3,,,
193493,1,,746 - Marquês Pombal,,3,,,
193162,1,,724 - Alcântara,,3,,,
193573,1,,61B - Bela Flor,,3,,,
193494,1,,746 - Estação Damaia,,3,,,
193497,1,,758 - Cais Sodré,,3,,,
193501,1,,76B - Boa-Hora (circ.),,3,,,
193174,1,,726 - Sapadores,,3,,,
193176,1,,726 - Sapadores,,3,,,
